pdb_id,entity_id
1u1m,2
2o8c,4
2o8c,3
3dlb,2
4aag,2
4aag,1
5iud,1
4dtx,2
3eh8,2
5y3l,2
4fjj,2
3eh8,1
4fjj,1
1s10,2
1s10,1
5y3l,1
4lez,2
3cvs,2
3ra0,1
5y3l,3
2evg,1
4e7k,3
4xo0,2
1oh8,3
5fro,1
4fcy,4
5k98,4
4fcy,2
4m9h,3
3waz,1
5k98,1
5vz9,3
4f6m,2
4oin,8
4oin,7
4oin,5
4oin,4
4oin,1
3fyl,3
4hqb,2
1vtn,1
1vtn,2
1vtn,3
4flx,2
4flx,1
5yv2,1
1oh8,2
3khg,3
3khg,2
3khg,1
3vak,1
4rto,2
5kn9,1
4roc,3
1t39,1
3q8k,2
2flc,4
2flc,2
2flc,3
3q8k,1
2o4i,1
4m8o,1
5kn9,3
5kn9,2
4jcx,3
8ich,1
4x5v,4
4wu9,4
6fb1,5
4z6e,2
9ick,2
9ick,3
4z7b,1
5vvj,3
5vvj,2
4u7b,2
4u7b,3
4ztj,3
4ztj,1
6fb1,4
5dny,4
3k9f,2
3k9f,3
3k9f,6
3k9f,4
5jjv,3
5dqh,2
5dqh,1
2bam,1
3k9f,5
1nke,1
2bam,2
5yv2,2
1ej9,1
5yv2,3
5av9,3
1ej9,3
5av9,1
5av9,2
4xo0,3
4xo0,1
5vz9,4
4hqb,1
4hqb,3
5hre,1
5yv1,2
3iay,1
3iay,2
5zu1,3
4yf0,2
4yf0,3
6b1q,1
3iay,3
5zu1,2
4yf0,1
2p6r,3
2p6r,2
2vtb,3
2vtb,2
3l8b,1
2vtb,1
1xi1,1
1p7h,2
1p7h,1
3jxb,2
3jxb,3
3wtx,5
5yv1,1
6b1q,3
3q0a,2
6b1q,2
5yv1,3
3q0a,1
5zu1,1
1xi1,2
2p6r,1
3l8b,3
3l8b,2
2asl,1
2asl,3
3twm,2
3twm,1
6fqv,2
6fqv,3
6fqv,1
5hre,2
4elt,1
5j29,1
5j29,3
3vd0,1
1sx5,1
5kfh,2
5kfh,1
1sx5,2
1qrh,2
4cej,1
5y7q,4
5hrd,2
1pvi,2
2y9z,2
2y9z,1
3u61,2
2evg,3
2evg,2
4e7k,1
3mfh,3
3u61,3
3d1n,2
4z53,3
4z53,1
3wts,2
3ebc,2
5emc,2
3nae,3
1vas,2
4nhj,1
3brf,4
3brf,1
1yqr,2
1yqr,1
4hn6,2
1yqr,3
4cej,3
4cej,2
6ged,1
5j0t,3
6ged,2
1sx5,3
5kfh,3
1qrh,1
5y7q,2
5y7q,3
5y7q,1
3q8l,3
5dg9,1
3q8l,1
1skw,4
1skw,2
1skw,3
1skw,1
2drp,1
2drp,3
3s5a,2
3s5a,3
3s5a,1
6cil,6
6cil,7
1hcq,2
1hcq,3
4bdp,1
2f8n,7
2f8n,3
4bdp,3
4bdp,2
2f8n,5
2f8n,4
3m9e,1
3lds,3
3wtx,3
3wtx,4
3lds,2
3wtx,1
5k5o,1
5k5o,2
5inq,1
4b24,2
4b24,3
3g6p,2
3g6p,3
3g6p,1
4yow,2
4yow,1
6ama,3
7icf,1
7icf,3
3rji,1
3rji,2
3rji,3
3rji,4
5ong,4
5ong,2
1odg,2
4yox,2
5ong,6
5ong,5
2f8n,2
6cil,2
3jra,3
1hcq,1
4x4c,3
4x4c,2
3jra,2
3jra,1
2pfp,4
1p3m,1
5j0q,2
1p3m,5
5j0q,4
1f5t,1
1f5t,2
4dts,2
3lds,1
5k5o,3
5inq,2
3ket,3
7icf,2
3ket,1
3ket,2
3rb0,2
3rb0,1
1l3s,2
1l3s,1
1l3s,3
9icw,1
3wts,5
3wts,3
3ebc,1
4fk2,3
1vas,1
3brf,3
3d1n,1
4z53,2
4z53,4
4z53,5
9icw,2
3wts,4
9icw,3
3wts,1
2cv5,2
5kfg,3
5omx,3
3v6j,3
5gnj,3
3afa,3
3afa,2
3co7,2
6cnp,1
3n78,2
3n78,3
3n78,1
5j29,4
5j29,2
5n90,2
1p7h,3
5vz7,2
3ebc,3
8icb,2
8icb,1
5eoz,4
5eoz,2
1e3m,1
3pih,2
5emc,1
3nae,2
1vas,3
3nae,1
4nhj,3
4nhj,2
3brf,2
3d1n,3
3oqn,3
5emc,3
1e3m,2
4z20,1
1e3m,3
8icb,3
3pih,1
5j0t,4
5j0t,2
5j0t,1
1f44,1
1f44,2
5lux,5
5lux,3
4ou7,2
5lux,2
3jxb,1
5n90,1
5vz7,4
5kfg,1
5omx,1
5omx,2
1e3o,1
1e3o,3
5omx,4
5gnj,2
3afa,5
