pdb_id,entity_id
4v84,25
4v84,31
4v84,18
4v84,24
4v84,32
4v84,22
4v84,17
4v84,34
4v84,30
4v84,11
4v84,1
4v84,26
4v84,7
4v84,12
4v84,19
2dr7,1
4v5c,48
4v5c,56
4v5c,57
4v5c,51
4v5c,44
4v5c,47
4v5c,45
4v5c,52
6caq,4
6caq,6
6caq,3
6caq,10
4v8p,41
4v8p,44
4v9d,38
4v9d,24
4v9d,36
4v9d,34
4v9d,23
4v9d,26
4v9d,18
4v9d,19
4v9d,28
4v9d,12
4v9d,22
4v9d,32
4v9d,1
4v9d,31
4v9d,30
4v9d,4
4v9d,10
4u56,83
3amu,2
4k0k,2
5br8,20
5br8,2
5br8,15
5br8,17
5br8,9
5br8,19
5br8,16
5br8,8
5br8,3
5br8,12
4v84,44
4v84,47
4v84,45
4v84,42
4tux,2
3t1y,21
3t1y,1
3t1y,6
3t1y,22
3t1y,11
3t1y,10
3t1y,4
3t1y,19
4v84,41
1m1k,8
1q82,24
1q82,18
1q82,10
1q82,5
1q82,25
1q82,30
1q82,12
1q82,19
1q82,4
5zq0,2
1q82,21
5zq0,1
1q82,2
2bbv,1
2bbv,3
1q82,8
1q82,6
1q82,1
4k0k,1
3amu,1
5br8,18
5br8,21
5br8,4
4v84,52
4v84,50
4v84,46
4v84,48
4v84,43
4v84,51
4tux,1
4l8h,2
2az0,1
1q82,28
1q82,23
1q82,15
2bbv,2
4v84,38
1m1k,12
1m1k,27
1m1k,18
1m1k,2
1m1k,22
1m1k,30
1m1k,17
1m1k,9
1m1k,14
1m1k,10
1m1k,21
1m1k,20
1m1k,3
1m1k,7
4v84,16
4v84,35
4v84,29
4v84,33
4v84,4
4v84,28
4v84,8
4v84,15
4v84,9
2zh7,2
5gip,3
4v9q,17
4v9q,37
4v9q,10
4v9q,19
4v9q,42
4v9q,18
4v9q,12
4v9q,6
4v9q,33
4v9q,13
4v9q,11
3hhz,3
3bx2,1
6h9i,1
6h9i,2
3bx2,2
4ji8,18
4ji8,8
4ji8,11
4ji8,15
4ji8,10
4ji8,6
4ji8,4
4ji8,2
4ji8,12
4ji8,13
4ji8,1
6dov,2
6dov,4
5m73,3
5m73,1
4tzz,3
4ji8,21
4ji8,3
3hk2,2
3hk2,3
5m73,2
3snp,2
5m73,4
4ji8,9
6dov,1
3hk2,1
4ji8,17
4ji8,16
4ji8,5
4ji8,14
4tzz,2
4ji8,20
4tzz,1
4ji8,7
6dov,3
4z8c,26
4z8c,30
4v5l,33
5tgm,87
4v5l,24
4v5l,34
4v5l,35
5tgm,73
5tgm,82
4v5l,39
5tgm,58
5tgm,68
5tgm,61
5tgm,76
4v5l,30
5tgm,75
5tgm,64
4v5l,16
5tgm,79
5tgm,50
5tgm,52
5tgm,63
4v5l,29
4v5l,22
5tgm,67
5tgm,43
4v5l,12
4v5l,17
5tgm,49
5tgm,53
4v5l,13
4v5l,11
4v5l,9
5tgm,2
5tgm,4
6dp8,4
6dp8,1
5tgm,3
6dp8,2
4a3c,14
4a3c,11
4a3c,12
4a3c,8
4a3c,9
4a3c,10
4v84,13
4v84,27
4v84,10
4v84,14
4v84,2
4v84,21
4v84,3
4v84,5
4v5c,46
2dr7,2
4v5c,54
4v5c,50
4v5c,53
4v5c,49
4v5c,55
4v5c,43
5tgm,7
5tgm,42
5tgm,9
5tgm,10
5tgm,40
5tgm,26
4a3c,3
4a3c,1
1i5l,1
1i5l,2
4qik,1
4v5c,29
4z8c,43
4z8c,49
4z8c,53
4z8c,55
4z8c,45
4z8c,51
4z8c,41
4z8c,40
4z8c,47
5xog,11
4z8c,48
4z8c,37
4z8c,33
4z8c,5
4z8c,35
4z8c,7
4z8c,14
4z8c,28
4z8c,12
4z8c,27
6cae,8
4z8c,6
6cae,5
6cae,3
6cae,6
6cae,2
6cae,1
5tgm,88
5tgm,89
4v5l,50
6cae,4
5tgm,83
5tgm,84
4v5l,37
5tgm,90
4v5l,55
4v5l,49
5tgm,91
4v5l,44
5tgm,86
5tgm,80
4v5l,48
4v5l,46
4v5l,51
5tgm,77
4v5l,53
5tgm,85
4v5l,43
4x62,11
4x62,9
4a3c,4
4a3c,5
4u25,22
4u25,19
4u25,34
4u25,18
5xog,5
5l1z,2
5xog,3
4z8c,16
4z8c,25
4z8c,23
4z8c,38
4z8c,20
4z8c,24
4z8c,8
4z8c,19
4z8c,21
4z8c,11
4z8c,4
4z8c,9
6cae,9
4v5l,52
4v5l,41
5w4u,11
5w4u,12
5w4u,9
5w4u,8
5w4u,5
5w4u,4
4x62,22
4x62,19
4x62,8
4x62,4
5w4u,1
4x62,2
4x62,21
4x62,12
4x62,6
4x62,10
4u25,36
4u25,25
4u25,26
4u25,17
4u25,31
4u25,8
4u25,3
4u25,13
4u25,27
4u25,2
4u25,28
4u25,7
4u25,5
4v5f,58
4v5f,57
4v5f,56
4u25,50
4u25,53
4u25,49
4gzy,5
4u25,43
4u25,38
4u25,52
4u25,41
4u25,42
4u25,39
4v4p,49
4gzy,2
4v4p,52
1i94,9
1i94,21
1i94,20
2pxe,2
2pxe,1
1r9t,3
1r9t,7
1r9t,5
1jzy,3
1jzy,1
1jzy,2
5amr,3
2nvz,4
2nvz,3
2nvz,7
5c9h,2
5c9h,3
4nha,2
2nvz,1
4v8u,54
4v8u,49
4v8u,53
4v8u,51
4v8u,44
1i94,19
1i94,5
1pvo,2
1i94,16
1i94,13
1i94,18
1i94,17
1i94,14
1i94,8
1i94,3
1zbh,2
4v8u,42
1r9t,12
1r9t,10
1r9t,6
1r9t,1
1r9t,8
1r9t,2
1i94,7
4v8u,43
1zbh,1
4v8u,41
1r9t,13
1r9t,9
1r9t,11
1r9t,4
5amr,2
2xs5,2
2xs5,1
1i94,12
1i94,2
1i94,11
1i94,6
1i94,10
1i94,4
1i94,15
1i94,1
1jzy,4
5amr,1
6blp,12
4w2i,5
6blp,7
6blp,8
6blp,2
6blp,5
6bsj,4
5xut,2
4u67,22
6doj,3
2zko,1
2zko,2
4k4y,2
4v5b,2
5e08,2
4v5b,6
4v5b,28
4v5b,20
5e08,3
4v5b,7
4v5b,22
4v5b,24
4v5b,4
4v5b,42
4v5b,53
4v5b,39
4v5b,35
4v5b,47
4v5b,36
4v5b,45
4v5b,43
4v5b,51
4v5b,38
4v5b,44
4v5b,50
4v5b,34
4v5b,41
4v5b,33
5i2d,7
5i2d,6
4k4y,4
4k4y,3
4k4y,1
3wqz,2
4v5b,32
5i2d,2
3wqz,1
4v5b,31
4v5b,23
4v5b,10
4v5b,5
4v5b,27
4v5b,9
4v5b,14
4v5b,52
4v5b,46
4v5b,49
4v5b,48
4v5b,37
4v5b,40
